col1,col2
1,10
2,20
3,30
4,40
5,50
6,60
7,70
8,80
9,90
10,100
11,110
12,120
13,130
14,140
15,150
16,160
17,170
18,180
19,190
20,200
21,210
22,220
23,230
24,240
25,250
26,260
27,270
28,280
29,290
30,300
31,310
32,320
33,330
34,340
35,350
36,360
37,370
38,380
39,390
40,400
41,410
42,420
43,430
44,440
45,450
46,460
47,470
48,480
49,490
50,500
51,510
52,520
53,530
54,540
55,550
56,560
57,570
58,580
59,590
60,600
61,610
62,620
63,630
64,640
65,650
66,660
67,670
68,680
69,690
70,700
71,710
72,720
73,730
74,740
75,750
76,760
77,770
78,780
79,790
80,800
81,810
82,820
83,830
84,840
85,850
86,860
87,870
88,880
89,890
90,900
91,910
92,920
93,930
94,940
95,950
96,960
97,970
98,980
99,990
100,1000
101,1010
102,1020
103,1030
104,1040
105,1050
106,1060
107,1070
108,1080
109,1090
110,1100
111,1110
112,1120
113,1130
114,1140
115,1150
116,1160
117,1170
118,1180
119,1190
120,1200
121,1210
122,1220
123,1230
124,1240
125,1250
126,1260
127,1270
128,1280
129,1290
130,1300
131,1310
132,1320
133,1330
134,1340
135,1350
136,1360
137,1370
138,1380
139,1390
140,1400
141,1410
142,1420
143,1430
144,1440
145,1450
146,1460
147,1470
148,1480
149,1490
150,1500
151,1510
152,1520
153,1530
154,1540
155,1550
156,1560
157,1570
158,1580
159,1590
160,1600
161,1610
162,1620
163,1630
164,1640
165,1650
166,1660
167,1670
168,1680
169,1690
170,1700
171,1710
172,1720
173,1730
174,1740
175,1750
176,1760
177,1770
178,1780
179,1790
180,1800
181,1810
182,1820
183,1830
184,1840
185,1850
186,1860
187,1870
188,1880
189,1890
190,1900
191,1910
192,1920
193,1930
194,1940
195,1950
196,1960
197,1970
198,1980
199,1990
200,2000
201,2010
202,2020
203,2030
204,2040
205,2050
206,2060
207,2070
208,2080
209,2090
210,2100
211,2110
212,2120
213,2130
214,2140
215,2150
216,2160
217,2170
218,2180
219,2190
220,2200
221,2210
222,2220
223,2230
224,2240
225,2250
226,2260
227,2270
228,2280
229,2290
230,2300
231,2310
232,2320
233,2330
234,2340
235,2350
236,2360
237,2370
238,2380
239,2390
240,2400
241,2410
242,2420
243,2430
244,2440
245,2450
246,2460
247,2470
248,2480
249,2490
250,2500
251,2510
252,2520
253,2530
254,2540
255,2550
256,2560
257,2570
258,2580
259,2590
260,2600
261,2610
262,2620
263,2630
264,2640
265,2650
266,2660
267,2670
268,2680
269,2690
270,2700
271,2710
272,2720
273,2730
274,2740
275,2750
276,2760
277,2770
278,2780
279,2790
280,2800
281,2810
282,2820
283,2830
284,2840
285,2850
286,2860
287,2870
288,2880
289,2890
290,2900
291,2910
292,2920
293,2930
294,2940
295,2950
296,2960
297,2970
298,2980
299,2990
300,3000
301,3010
302,3020
303,3030
304,3040
305,3050
306,3060
307,3070
308,3080
309,3090
310,3100
311,3110
312,3120
313,3130
314,3140
315,3150
316,3160
317,3170
318,3180
319,3190
320,3200
321,3210
322,3220
323,3230
324,3240
325,3250
326,3260
327,3270
328,3280
329,3290
330,3300
331,3310
332,3320
333,3330
334,3340
335,3350
336,3360
337,3370
338,3380
339,3390
340,3400
341,3410
342,3420
343,3430
344,3440
345,3450
346,3460
347,3470
348,3480
349,3490
350,3500
351,3510
352,3520
353,3530
354,3540
355,3550
356,3560
357,3570
358,3580
359,3590
360,3600
361,3610
362,3620
363,3630
364,3640
365,3650
366,3660
367,3670
368,3680
369,3690
370,3700
371,3710
372,3720
373,3730
374,3740
375,3750
376,3760
377,3770
378,3780
379,3790
380,3800
381,3810
382,3820
383,3830
384,3840
385,3850
386,3860
387,3870
388,3880
389,3890
390,3900
391,3910
392,3920
393,3930
394,3940
395,3950
396,3960
397,3970
398,3980
399,3990
400,4000
401,4010
402,4020
403,4030
404,4040
405,4050
406,4060
407,4070
408,4080
409,4090
410,4100
411,4110
412,4120
413,4130
414,4140
415,4150
416,4160
417,4170
418,4180
419,4190
420,4200
421,4210
422,4220
423,4230
424,4240
425,4250
426,4260
427,4270
428,4280
429,4290
430,4300
431,4310
432,4320
433,4330
434,4340
435,4350
436,4360
437,4370
438,4380
439,4390
440,4400
441,4410
442,4420
443,4430
444,4440
445,4450
446,4460
447,4470
448,4480
449,4490
450,4500
451,4510
452,4520
453,4530
454,4540
455,4550
456,4560
457,4570
458,4580
459,4590
460,4600
461,4610
462,4620
463,4630
464,4640
465,4650
466,4660
467,4670
468,4680
469,4690
470,4700
471,4710
472,4720
473,4730
474,4740
475,4750
476,4760
477,4770
478,4780
479,4790
480,4800
481,4810
482,4820
483,4830
484,4840
485,4850
486,4860
487,4870
488,4880
489,4890
490,4900
491,4910
492,4920
493,4930
494,4940
495,4950
496,4960
497,4970
498,4980
499,4990
500,5000
501,5010
502,5020
503,5030
504,5040
505,5050
506,5060
507,5070
508,5080
509,5090
510,5100
511,5110
512,5120
513,5130
514,5140
515,5150
516,5160
517,5170
518,5180
519,5190
520,5200
521,5210
522,5220
523,5230
524,5240
525,5250
526,5260
527,5270
528,5280
529,5290
530,5300
531,5310
532,5320
533,5330
534,5340
535,5350
536,5360
537,5370
538,5380
539,5390
540,5400
541,5410
542,5420
543,5430
544,5440
545,5450
546,5460
547,5470
548,5480
549,5490
550,5500
551,5510
552,5520
553,5530
554,5540
555,5550
556,5560
557,5570
558,5580
559,5590
560,5600
561,5610
562,5620
563,5630
564,5640
565,5650
566,5660
567,5670
568,5680
569,5690
570,5700
571,5710
572,5720
573,5730
574,5740
575,5750
576,5760
577,5770
578,5780
579,5790
580,5800
581,5810
582,5820
583,5830
584,5840
585,5850
586,5860
587,5870
588,5880
589,5890
590,5900
591,5910
592,5920
593,5930
594,5940
595,5950
596,5960
597,5970
598,5980
599,5990
600,6000
601,6010
602,6020
603,6030
604,6040
605,6050
606,6060
607,6070
608,6080
609,6090
610,6100
611,6110
612,6120
613,6130
614,6140
615,6150
616,6160
617,6170
618,6180
619,6190
620,6200
621,6210
622,6220
623,6230
624,6240
625,6250
626,6260
627,6270
628,6280
629,6290
630,6300
631,6310
632,6320
633,6330
634,6340
635,6350
636,6360
637,6370
638,6380
639,6390
640,6400
641,6410
642,6420
643,6430
644,6440
645,6450
646,6460
647,6470
648,6480
649,6490
650,6500
651,6510
652,6520
653,6530
654,6540
655,6550
656,6560
657,6570
658,6580
659,6590
660,6600
661,6610
662,6620
663,6630
664,6640
665,6650
666,6660
667,6670
668,6680
669,6690
670,6700
671,6710
672,6720
673,6730
674,6740
675,6750
676,6760
677,6770
678,6780
679,6790
680,6800
681,6810
682,6820
683,6830
684,6840
685,6850
686,6860
687,6870
688,6880
689,6890
690,6900
691,6910
692,6920
693,6930
694,6940
695,6950
696,6960
697,6970
698,6980
699,6990
700,7000
701,7010
702,7020
703,7030
704,7040
705,7050
706,7060
707,7070
708,7080
709,7090
710,7100
711,7110
712,7120
713,7130
714,7140
715,7150
716,7160
717,7170
718,7180
719,7190
